Country,Year_1,Month_1,type,Event Category,EventDescription
Turkey,2011,August,Symptom,Repression of the opposition,"President Abdullah Gul selected top military leaders to replace those that resigned in protest after a mass arrest of officers accused of threatening national security/plotting a coup took place, bringing the military, a historical check on the government, under increased government control."
Turkey,2011,Unknown,Precursor,Manipulation of civil service,"Ak party suspended 250 military officials to gain control over the secular military. General Necdet Ozel was also appointed as General Staff, he was friendly to the AK party"
Turkey,2011,NA,Precursor,Refugee crisis,"Turkey welcomed 100,000 refugees in the first year of the Syrian Civil War, creating tension as state resources were strained."
Turkey,2012,January,Symptom,Media repression,"In 2012, more journalists were jailed in Turkey than in any other country."
Turkey,2013,May,Resistance,Nonviolent protest,Demonstrators gathered in Gezi Park in Istanbul for a sit-in protesting a government plan to cut down trees in the area to build a shopping mall
Turkey,2013,May,Precursor,State-conducted violence or abuse,"Security forces cracked down brutally on peaceful Gezi Park protests, injuring over 8,000 people within a few months as police released tear gas, beat dissidents, and utilized extreme force against protesters"
Turkey,2013,June,Symptom,Curtailed civil liberties,"Doctors, lawyers, and journalists were arrested, threatened, and harassed for supporting or defending the rights of Gezi Park protesters"
Turkey,2013,June,Resistance,Nonviolent protest,"Following the police violence against protestors opposing the redevelopment of Gezi Park in Istanbul, protests evolved into demonstrations against President Recep Tayyip Erdogan's government"
Turkey,2013,June,Precursor,Media bias,"For fear of retribution, CNN Turk aired a documentary on penguins instead of covering a protest where police brutality occurred."
Turkey,2013,August,Precursor,Delegitimizing or weakening judiciary,"President Erdogan responded to a check on his executive power by the judiciary with a legal case against “Ergenekon,” an alleged ultra-nationalist organization connected to the deep state and plotting to overthrow the government (such as through a judicial check on his power)"
Turkey,2013,August,Symptom,Purging of elites,"Surrounding the Ergenekon case, President Erdogan used the murder of journalist Hrant Dink in 2007 and public concerns about uncovering an anti-government ""deep state"" to arrest hundreds of people, including military officers, journalists, academics, and opposition lawmakers for allegedly plotting against the government"
Turkey,2013,October,Symptom,Weakened civil service or integrity institutions,"During the ""sledgehammer"" trials, Recep Tayyip Erdogan and his allies politicized the judiciary to purge opponents in the military."
Turkey,2013,December,Precursor,Vertical corruption,"Government officials, Justice and Development Party (AKP)-affiliated businessmen, and the sons of several AKP ministers were arrested for corruption."
Turkey,2013,December,Precursor,Vertical corruption,"The Turkish economy minister was bribed ~$70 billion to allow the laundering of several billion dollars of Iranian oil revenue into global markets, circumventing US sanctions."
Turkey,2013,December,Symptom,Reduction in judicial independence,"70 people involved in corruption investigations against AKP party members were fired, due to alleged connections to the Gulen opposition movement."
Turkey,2013,Unknown,Resistance,Check on executive by judiciary,"In 2013, the HCJP used this new power to
open an investigation within their constitutional right into growing accusations of
corruption by AKP Cabinet members."
Turkey,2013,Unknown,Symptom,Media repression,"As of December 2013, the Committee
to Protect Journalists found that 40 journalists were imprisoned in Turkey under these circumstances,
making Turkey the top jailer of journalists in the world."
Turkey,2013,Unknown,Symptom,Repression of the opposition,"when police forces sent by the Erdo?an administration brutally assaulted citizens protesting against AKP
rule."
Turkey,2013,Unknown,Resistance,Violent protest,"Gezi Protests brought in 3 million people against government authoritarianism, which sparked police brutality"
Turkey,2013,NA,Destabilizing Event,Refugee crisis,Over 3.6 million Syrian refugees crossed over into Turkey to escape the Syrian Civil War.
Turkey,2013,NA,Destabilizing Event,Extremist/populist parties,President Recep Tayyip Erdogan scapegoated those protesting the AKP's efforts to infringe on individual liberties as those plotting to oust his government by non-electoral means.
Turkey,2013,NA,Precursor,Media bias,"Prime Minister Recep Tayyip Erdogan encourages his allies to buy up media outlets, such as The Turkish Radio and Television Corporation and the Anadolu Agency, in order to garner positive coverage and spread his political messages"
Turkey,2013,NA,Symptom,Media repression,"Following the 2013 corruption scandal, the Justice and Development Party (AKP) blocked access to Facebook and YouTube."
Turkey,2013,NA,Symptom,Purging of elites,"An investigation meant to root out Turkey’s alleged “deep state,"" consisting of military, police, journalists, academics and business people, resulted in Prime Minister Recep Tayyip Erdogan and his government detaining supposed deep-state members, suing critics, banning social media, and fining businesses that did not support him."
Turkey,2014,February,Symptom,Reduction in judicial independence,New legislation gave the Justice Minister the power to appoint members of the High Council of Judges and control the board that disciplines judges
Turkey,2014,March,Destabilizing Event,Non-state violence,"The Islamic State of Iraq and the Levant (ISIL) launched a series of terrorist attacks against the country, undermining its stability, tourism, and economy."
Turkey,2014,August,Symptom,Systemic reduction in election freedom and fairness,"In the run-up to the 2014 and 2015 elections, Justice and Development Party (AKP) officials used public funds to promote themselves by transforming government events into campaign rallies and used state apparatuses to court campaign donations."
Turkey,2014,August,Precursor,Party weakness,"Prime Minister Recep Tayyip Erdogan purged the more liberal members of his party, the AKP, nominating himself to successfully run as president in the first direct presidential elections"
